UserId,Age,Gender,Height (cm),Weight (kg),Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Workout Intensity,Sleep hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%),Mood Before Workout,Mood After Workout
1,31,Female,178,89,Yoga,109,842,166,7127,High,6.4,1.2,3234,80,39.4,24.1,Energetic,Neutral
2,29,Male,178,70,Strength,64,812,66,19825,Medium,8.8,1.2,2489,62,57.6,27.2,Happy,Happy
3,30,Female,150,74,CrossFit,91,923,90,10370,Medium,8.0,1.5,3133,88,32.3,10.6,Stressed,Energetic
4,56,Female,170,79,Pilates,50,858,79,17911,Medium,4.6,3.2,2223,67,39.9,34.7,Stressed,Tired
5,30,Male,198,65,Strength,53,724,90,16396,Low,6.6,2.3,1667,83,31.7,31.3,Energetic,Happy
6,32,Male,162,50,Cardio,65,604,104,8824,Low,8.0,2.3,3063,82,56.0,25.1,Happy,Neutral
7,51,Female,162,80,Strength,23,921,152,16891,High,7.2,1.5,2415,53,45.5,10.1,Tired,Neutral
8,23,Female,171,51,HIIT,112,509,175,5315,Medium,4.3,3.7,2432,56,55.2,14.0,Happy,Neutral
9,48,Female,167,100,Pilates,35,964,166,16258,Low,6.6,3.3,2502,84,30.9,34.9,Neutral,Stressed
10,33,Male,190,67,Yoga,61,872,89,10730,Low,8.9,1.3,2850,89,58.5,10.1,Happy,Stressed
11,58,Male,160,91,Cardio,43,910,146,18235,Low,8.3,2.6,2711,59,31.2,18.5,Energetic,Energetic
12,31,Female,157,73,Cardio,72,664,150,15290,High,6.1,3.9,2297,82,45.0,16.4,Energetic,Tired
13,31,Male,190,98,Yoga,86,307,165,15904,Medium,5.0,1.3,1589,55,46.2,19.6,Happy,Happy
14,29,Female,161,65,CrossFit,66,175,149,16560,Low,7.4,2.7,2890,64,53.2,29.7,Stressed,Tired
15,40,Female,189,76,Strength,84,330,117,14051,Medium,7.6,2.3,2615,82,40.1,24.8,Neutral,Stressed
16,38,Male,161,98,CrossFit,59,493,122,3608,High,6.9,3.7,2169,64,54.5,22.8,Energetic,Tired
17,56,Male,193,62,Strength,84,689,118,5041,High,6.8,3.3,3040,84,38.0,20.3,Tired,Neutral
18,55,Male,191,52,Pilates,106,334,160,13364,Low,4.3,1.4,2790,72,58.0,34.4,Tired,Neutral
19,38,Male,152,59,Yoga,42,994,101,7120,Medium,8.5,1.6,3030,55,44.2,22.8,Energetic,Happy
20,23,Male,178,99,Yoga,63,703,133,3364,Low,7.9,1.6,3012,70,56.1,28.1,Energetic,Stressed
21,41,Female,161,98,Pilates,25,759,93,8173,Low,7.2,2.4,1579,55,32.9,31.9,Neutral,Stressed
22,57,Female,190,69,Cardio,32,691,108,5205,Medium,6.4,2.1,3494,82,53.4,30.2,Tired,Energetic
23,45,Male,177,59,Strength,28,859,95,17927,High,4.6,1.1,1535,74,41.4,20.9,Energetic,Neutral
24,36,Male,196,96,Pilates,51,610,94,15823,Medium,7.4,1.6,2829,77,32.8,23.0,Energetic,Neutral
25,21,Female,163,51,Yoga,73,837,162,9716,Medium,5.1,3.4,3215,88,32.4,30.6,Tired,Stressed
26,32,Male,156,100,Strength,110,217,87,18180,Medium,7.2,3.7,1590,88,46.7,20.4,Happy,Tired
27,30,Female,199,85,Pilates,117,247,152,7417,Medium,4.3,2.8,2146,72,54.7,15.1,Energetic,Tired
28,35,Male,161,100,Strength,69,349,105,18604,Low,5.5,1.8,1749,56,32.1,30.9,Energetic,Energetic
29,51,Female,166,89,Strength,53,525,83,13983,Medium,4.8,2.9,2156,56,30.1,21.7,Stressed,Neutral
30,18,Male,171,70,Strength,70,424,90,19833,High,8.3,1.6,2282,52,54.7,15.2,Stressed,Tired
31,55,Male,175,76,HIIT,70,186,84,16133,High,7.6,2.8,2443,69,30.5,31.5,Energetic,Energetic
32,60,Female,173,56,Yoga,43,562,103,13736,Low,8.6,2.3,3213,82,36.4,34.4,Happy,Energetic
33,52,Female,191,67,Cardio,108,860,153,4804,Low,5.0,3.2,2874,59,48.5,22.5,Neutral,Neutral
34,49,Male,165,100,Pilates,120,397,146,11970,Medium,4.9,2.3,2580,83,32.0,15.2,Tired,Happy
35,57,Female,179,73,CrossFit,88,251,80,1209,Medium,7.1,3.2,1885,77,31.2,21.3,Happy,Tired
36,41,Male,188,57,HIIT,62,946,63,7908,High,4.4,3.7,2932,72,49.8,21.5,Energetic,Happy
37,20,Female,200,87,Cardio,115,380,162,19227,Low,4.9,3.6,2020,80,33.0,20.3,Happy,Energetic
38,37,Female,157,85,CrossFit,90,740,148,18670,Medium,8.7,3.5,1771,80,32.0,20.1,Energetic,Neutral
39,48,Female,184,51,HIIT,37,292,77,2893,High,4.3,3.8,3373,86,56.0,34.9,Energetic,Happy
40,36,Male,175,77,Pilates,23,386,173,19181,High,4.5,3.6,3077,75,57.9,18.4,Happy,Neutral
41,37,Male,194,54,Cardio,100,465,144,8150,Low,6.7,2.6,1927,76,59.8,24.2,Stressed,Neutral
42,28,Male,185,95,CrossFit,22,477,70,3515,Medium,6.4,1.5,1627,62,49.1,19.3,Neutral,Energetic
43,36,Male,159,85,Cardio,113,563,82,14941,Low,5.9,3.2,2159,79,45.5,17.0,Tired,Stressed
44,59,Female,159,87,HIIT,112,656,87,3454,Medium,5.4,3.3,3023,76,41.7,16.5,Happy,Neutral
45,23,Male,183,83,HIIT,25,715,86,9154,Low,7.4,1.5,2299,87,34.6,16.4,Neutral,Happy
46,24,Female,179,72,CrossFit,102,385,70,16856,Medium,6.1,2.0,2021,64,36.5,10.4,Energetic,Tired
47,24,Male,150,93,Yoga,50,982,78,11907,Medium,4.3,2.4,2498,63,59.3,12.0,Happy,Neutral
48,47,Female,176,64,HIIT,74,470,109,8649,High,8.2,3.4,3160,72,53.8,17.7,Energetic,Energetic
49,48,Male,191,85,HIIT,100,405,109,6170,Low,8.7,3.4,1624,87,34.3,27.9,Energetic,Happy
50,51,Female,186,81,HIIT,49,374,165,10524,High,6.3,2.5,1906,73,40.2,23.8,Neutral,Stressed
51,36,Male,153,82,Pilates,76,537,61,15941,Low,5.2,1.2,2776,77,46.5,14.8,Tired,Happy
52,21,Female,182,52,Strength,46,771,170,6984,Medium,8.9,4.0,1901,74,42.8,20.0,Neutral,Neutral
53,20,Male,194,78,Pilates,104,338,154,3920,Low,8.4,1.9,2831,54,32.1,16.6,Neutral,Stressed
54,48,Male,194,89,Cardio,21,492,103,6175,High,6.2,2.8,1515,70,32.4,31.5,Happy,Happy
55,55,Male,171,86,Pilates,68,488,88,14598,High,5.2,2.1,3378,68,36.5,10.8,Neutral,Tired
56,29,Female,152,92,CrossFit,53,701,111,16410,Medium,5.4,3.4,2012,85,46.2,21.7,Tired,Neutral
57,27,Female,160,73,CrossFit,68,951,132,14772,High,8.2,1.1,2092,53,35.7,17.9,Energetic,Happy
58,30,Male,150,56,Cardio,27,530,85,6623,Low,8.4,1.8,1624,51,59.8,34.4,Energetic,Tired
59,45,Female,191,70,Yoga,78,991,100,4915,Low,4.9,3.1,2423,86,32.9,28.7,Neutral,Happy
60,47,Male,184,90,Strength,89,948,108,19077,Medium,5.6,3.8,1999,55,31.2,25.5,Neutral,Tired
61,20,Male,181,85,Yoga,109,979,94,6537,High,8.3,2.4,2881,78,58.5,12.1,Neutral,Energetic
62,38,Male,177,62,Strength,26,382,131,7328,Low,6.0,2.3,3389,87,30.7,18.8,Happy,Neutral
63,31,Female,155,87,CrossFit,46,797,111,5762,Low,4.8,1.4,3457,80,58.5,32.5,Energetic,Happy
64,51,Female,150,51,Cardio,39,768,178,6879,Low,6.8,3.9,1546,53,37.7,21.2,Neutral,Energetic
65,50,Female,188,85,Cardio,98,870,142,8632,Low,7.9,3.4,2236,71,51.4,12.5,Happy,Stressed
66,58,Male,164,56,CrossFit,69,921,119,16289,High,4.2,3.1,2140,79,45.3,12.4,Tired,Stressed
67,55,Female,159,93,Yoga,95,380,82,3812,Low,8.0,3.6,1577,81,52.1,11.0,Tired,Stressed
68,59,Male,181,77,Strength,34,379,167,7173,Medium,4.8,2.4,2479,55,35.5,27.0,Energetic,Stressed
69,26,Female,170,54,HIIT,80,531,90,1036,Medium,7.5,1.8,2564,83,52.7,26.8,Stressed,Neutral
70,42,Male,161,58,Pilates,85,358,122,14338,High,4.7,3.1,2499,70,51.0,34.4,Tired,Energetic
71,56,Female,174,99,Cardio,38,618,164,1440,High,4.4,2.3,2825,83,50.9,19.4,Tired,Neutral
72,51,Male,159,61,CrossFit,30,339,171,7602,Low,8.8,3.1,2635,69,47.3,11.7,Happy,Neutral
73,42,Male,178,87,Pilates,101,478,63,3205,High,8.0,1.6,3046,72,59.5,14.8,Neutral,Neutral
74,44,Male,157,51,HIIT,74,707,141,6483,Low,6.9,1.0,2102,76,52.7,28.7,Energetic,Tired
75,38,Male,194,54,Strength,85,505,84,17077,High,6.2,1.2,3052,74,49.6,14.9,Happy,Energetic
76,54,Male,195,70,CrossFit,97,919,169,17126,Medium,7.3,3.4,2640,59,52.5,14.2,Happy,Neutral
77,27,Female,171,80,Strength,83,413,71,2035,Medium,7.0,3.0,3120,63,38.8,18.2,Happy,Stressed
78,59,Male,181,95,CrossFit,38,973,177,1554,Low,4.8,3.7,3434,55,46.7,33.6,Neutral,Stressed
79,44,Female,158,66,CrossFit,108,966,116,5007,Medium,4.8,4.0,2814,50,30.6,12.1,Neutral,Neutral
80,33,Male,177,63,Yoga,82,233,70,6023,Medium,4.4,1.6,3259,80,56.3,27.4,Happy,Happy
81,24,Female,187,51,CrossFit,29,531,107,6781,Medium,5.4,1.6,3038,67,50.3,20.8,Tired,Stressed
82,38,Male,182,95,Cardio,54,207,89,1571,Medium,8.6,3.9,3173,66,30.1,15.6,Happy,Stressed
83,49,Male,167,69,Cardio,52,853,138,5133,High,8.7,1.0,2514,54,54.0,19.4,Stressed,Tired
84,45,Female,194,100,Strength,91,670,149,4613,High,7.8,3.0,2581,76,34.9,17.4,Tired,Happy
85,59,Female,187,88,Strength,51,781,175,11178,High,9.0,3.2,2557,79,59.5,12.0,Happy,Tired
86,20,Male,191,53,Cardio,89,471,78,5243,Low,8.3,2.3,2967,66,36.7,17.9,Happy,Neutral
87,50,Female,156,72,Yoga,99,766,173,16487,Low,8.9,2.7,2136,63,38.0,20.5,Stressed,Stressed
88,39,Female,175,73,Yoga,41,262,147,8319,Medium,7.9,2.1,3321,57,34.0,15.5,Energetic,Energetic
89,22,Female,180,75,Cardio,24,171,86,14589,High,7.1,1.7,2621,73,58.8,30.7,Tired,Neutral
90,58,Male,198,77,Cardio,113,367,97,2694,Low,7.2,3.0,2716,61,52.2,31.3,Happy,Stressed
91,33,Male,192,99,Pilates,34,586,136,1992,High,6.3,1.0,3303,83,55.7,14.9,Stressed,Energetic
92,46,Male,195,92,CrossFit,71,716,82,2030,Medium,6.0,2.8,3483,80,41.3,29.7,Stressed,Happy
93,37,Male,163,71,Pilates,20,524,168,10786,Medium,6.4,2.3,1767,55,44.3,25.3,Happy,Stressed
94,29,Female,150,67,CrossFit,92,592,155,7799,High,7.4,3.8,3456,75,50.2,17.0,Stressed,Stressed
95,29,Male,168,99,Strength,41,197,120,17328,Medium,7.6,1.8,1612,82,39.9,31.6,Happy,Stressed
96,47,Male,152,63,Pilates,71,450,123,7678,Low,8.5,1.1,1951,70,36.4,12.9,Stressed,Happy
97,56,Female,170,71,CrossFit,38,821,65,4243,Medium,4.4,2.9,3036,87,30.8,34.7,Happy,Happy
98,51,Female,151,59,Cardio,87,862,68,4589,High,8.8,2.2,1537,56,47.1,27.9,Happy,Tired
99,27,Female,199,81,Strength,48,920,65,9793,Low,4.8,3.4,3195,57,41.8,29.8,Neutral,Tired
100,43,Female,165,57,Cardio,45,382,153,3469,Low,6.7,3.3,2315,52,43.3,20.8,Happy,Stressed
101,26,Male,164,56,CrossFit,55,444,119,4312,Low,5.8,1.4,1915,62,48.4,19.1,Neutral,Happy
102,52,Male,159,80,CrossFit,41,575,119,8165,Low,6.3,2.8,3075,59,31.1,22.0,Stressed,Stressed
103,42,Male,158,90,CrossFit,86,271,92,17390,Low,6.6,1.1,3195,61,34.5,21.5,Tired,Neutral
104,53,Male,172,82,CrossFit,90,694,80,14121,Medium,5.5,2.3,1964,65,34.8,25.1,Happy,Neutral
105,31,Female,165,73,CrossFit,109,350,111,14594,Low,7.5,3.0,2803,58,47.9,10.5,Stressed,Neutral
106,52,Female,198,80,CrossFit,113,600,69,5659,Medium,8.5,3.9,2381,75,41.4,27.6,Stressed,Stressed
107,33,Male,161,53,Cardio,36,695,89,19037,High,5.8,3.0,3280,75,37.7,34.6,Stressed,Happy
108,19,Female,190,81,Pilates,47,365,107,16020,Low,8.0,3.5,2739,80,37.4,24.3,Happy,Energetic
109,51,Female,156,61,Strength,103,530,112,2470,Low,6.2,3.0,2493,71,36.1,25.5,Energetic,Tired
110,41,Male,184,66,Cardio,38,299,152,6231,Low,5.7,3.3,3252,81,37.2,29.8,Stressed,Neutral
111,43,Female,186,81,CrossFit,81,805,65,1353,High,7.3,1.6,1712,65,44.7,34.4,Happy,Neutral
112,55,Male,171,73,Yoga,91,322,89,14483,Low,9.0,3.5,1870,56,56.8,24.4,Tired,Stressed
113,42,Male,163,73,Pilates,76,874,109,7754,Low,4.7,3.1,2298,67,35.4,30.2,Stressed,Happy
114,40,Female,158,90,Cardio,60,727,163,3070,High,7.6,1.4,2258,80,60.0,21.4,Energetic,Stressed
115,52,Female,176,73,Yoga,115,492,116,1304,Low,4.8,3.7,1804,62,50.8,31.0,Energetic,Energetic
116,23,Male,162,73,CrossFit,23,816,159,15535,Medium,5.4,2.8,2031,55,31.6,11.6,Happy,Happy
117,51,Male,195,67,Cardio,54,888,98,9406,Medium,7.1,1.6,3219,59,53.6,28.8,Tired,Happy
118,21,Male,166,94,HIIT,57,403,122,7491,Medium,4.1,2.6,2126,58,43.5,19.0,Stressed,Tired
119,56,Female,180,64,Pilates,74,524,148,10148,High,4.1,1.6,3454,68,51.9,30.2,Neutral,Happy
120,31,Female,153,78,Cardio,78,963,114,6594,Low,8.0,1.5,2323,57,49.3,24.4,Tired,Happy
121,28,Female,197,72,Cardio,95,525,100,2767,Low,5.7,4.0,2842,72,39.2,11.0,Stressed,Happy
122,50,Female,150,61,HIIT,24,609,63,7642,Low,9.0,2.7,3328,51,52.6,31.9,Happy,Happy
123,35,Female,165,96,Strength,62,687,105,2291,High,8.6,3.1,1558,84,49.4,24.6,Happy,Happy
124,47,Male,160,69,Cardio,85,990,161,10305,Low,6.5,3.9,2463,76,39.6,33.5,Neutral,Energetic
125,52,Female,197,57,CrossFit,113,178,146,10605,Medium,8.2,1.6,2206,62,54.8,26.3,Tired,Neutral
126,45,Female,154,53,CrossFit,67,965,175,7904,Low,7.9,3.4,3195,80,59.0,18.2,Energetic,Stressed
127,43,Male,155,78,Pilates,44,447,135,7525,Low,8.7,2.8,3153,87,46.3,18.4,Tired,Energetic
128,19,Female,186,61,Pilates,31,655,91,17845,Low,5.9,3.3,3191,59,51.4,12.8,Neutral,Stressed
129,38,Female,180,67,Yoga,108,504,152,1424,Medium,8.8,3.5,1551,65,35.2,14.9,Tired,Tired
130,18,Male,175,50,CrossFit,104,216,107,9230,Low,4.8,2.2,1532,63,38.8,18.9,Energetic,Tired
131,32,Female,157,77,Yoga,51,916,112,18738,Low,8.6,1.0,2057,53,51.4,13.0,Neutral,Energetic
132,53,Female,161,57,HIIT,81,677,94,2703,High,4.4,1.2,2167,65,51.1,10.1,Neutral,Tired
133,40,Male,181,56,Yoga,88,639,179,1272,High,4.1,1.6,2837,66,40.9,25.6,Tired,Energetic
134,21,Male,181,71,CrossFit,83,851,115,16191,Medium,6.9,3.3,3188,58,45.5,26.0,Tired,Neutral
135,32,Female,167,58,Strength,44,394,62,16471,High,7.6,1.3,1797,67,58.9,24.4,Neutral,Energetic
136,51,Female,183,73,CrossFit,117,581,163,1200,Low,4.1,3.8,1544,78,33.2,25.2,Energetic,Happy
137,30,Male,167,59,CrossFit,88,515,132,10008,Medium,5.4,2.8,3395,61,56.7,21.8,Tired,Energetic
138,30,Female,194,86,CrossFit,45,395,146,15600,Medium,4.6,1.9,3416,70,45.4,30.8,Tired,Tired
139,52,Male,160,97,Strength,49,255,89,6722,Low,5.5,2.0,2089,82,55.8,26.7,Energetic,Neutral
140,38,Male,174,50,Yoga,22,955,88,2823,High,5.9,2.9,3170,69,50.0,24.1,Stressed,Stressed
141,26,Male,176,55,HIIT,40,733,81,15456,Low,7.5,1.4,1988,69,57.3,21.4,Stressed,Tired
142,55,Male,187,84,Cardio,98,554,75,2681,High,5.5,1.6,2779,69,36.2,29.3,Stressed,Stressed
143,37,Male,154,80,CrossFit,79,938,143,6421,Medium,6.9,1.2,2103,81,50.7,14.3,Stressed,Energetic
144,57,Female,164,96,HIIT,59,714,84,12969,Medium,6.3,1.1,2266,75,57.7,34.5,Stressed,Stressed
145,38,Female,177,98,Cardio,72,705,113,14166,High,7.8,1.1,2170,65,32.8,19.1,Stressed,Neutral
146,60,Male,195,81,Pilates,80,309,118,18478,Low,5.0,2.6,2114,61,53.8,31.8,Stressed,Happy
147,50,Female,187,86,HIIT,93,503,167,18780,High,4.3,1.1,2869,59,46.8,11.2,Stressed,Tired
148,52,Male,167,100,HIIT,114,833,165,17075,Medium,6.2,3.5,2790,70,33.5,15.9,Stressed,Neutral
149,21,Male,187,88,Cardio,48,787,121,7174,Low,5.7,3.2,2240,79,39.9,12.8,Neutral,Neutral
150,55,Female,162,65,CrossFit,38,296,109,1759,High,8.9,2.9,2505,51,41.7,30.0,Stressed,Neutral
151,44,Male,150,81,Cardio,90,403,140,17841,Medium,8.1,3.9,2374,70,42.2,23.7,Neutral,Tired
152,54,Female,187,82,CrossFit,105,890,148,5637,Medium,7.3,2.4,2561,87,57.7,16.8,Tired,Happy
153,60,Male,176,83,Strength,26,175,68,19877,Low,8.1,2.6,3008,55,37.7,16.3,Energetic,Stressed
154,59,Female,167,62,Yoga,50,553,90,2974,Medium,4.1,3.8,2242,70,33.6,24.7,Tired,Stressed
155,22,Female,186,97,Yoga,69,486,131,3886,High,7.5,2.3,3181,88,42.6,15.3,Stressed,Happy
156,46,Male,173,95,HIIT,97,634,165,16476,High,7.6,3.9,2909,86,54.0,15.9,Neutral,Happy
157,37,Male,160,80,Pilates,70,280,144,14890,Medium,4.8,3.6,3449,81,37.5,11.6,Tired,Neutral
